server_bandwidth_Bps,server_bandwidth_GiB_s,client_bandwidth_Bps,client_bandwidth_GiB_s,run,backend,kernel,mtu,read_bytes,duration,num_sockets,num_workers,num_ssds,request_size,stripe_size,reg_ring,reg_fds,reg_bufs,napi,send_zc,pin_queues,server,client
28908311599,26.923,28937180515,26.9498,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,16384,16384,True,True,True,False,False,False,fn01,fn03
49358708300,45.9689,49413223481,46.0197,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,65536,65536,True,True,True,False,False,False,fn01,fn03
28928187391,26.9415,28983677091,26.9932,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,16384,16384,True,True,True,False,False,False,fn01,fn03
49324952951,45.9374,49418824441,46.0249,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,65536,65536,True,True,True,False,False,False,fn01,fn03
1627473939,1.5157,1629603785,1.51769,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,16384,16384,True,True,True,False,True,False,fn01,fn03
3955470493,3.68382,3958525686,3.68666,0,io_uring,6.15.0-rc7,9000,,30000,32,1,8,65536,65536,True,True,True,False,True,False,fn01,fn03
3271830855,3.04713,3275314931,3.05037,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,16384,16384,True,True,True,False,True,False,fn01,fn03
7412418946,6.90335,7422191972,6.91245,0,io_uring,6.15.0-rc7,9000,,30000,32,2,8,65536,65536,True,True,True,False,True,False,fn01,fn03
6362191768,5.92525,6366111504,5.9289,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,16384,16384,True,True,True,False,True,False,fn01,fn03
14557084503,13.5573,14575994211,13.575,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,65536,65536,True,True,True,False,True,False,fn01,fn03
11755235793,10.9479,11765755429,10.9577,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,16384,16384,True,True,True,False,True,False,fn01,fn03
26161827177,24.3651,26186926467,24.3885,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,65536,65536,True,True,True,False,True,False,fn01,fn03
20552191153,19.1407,20577266440,19.1641,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,16384,16384,True,True,True,False,True,False,fn01,fn03
41251729140,38.4187,41297241449,38.4611,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,65536,65536,True,True,True,False,True,False,fn01,fn03
35547315801,33.106,35585370794,33.1415,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,16384,16384,True,True,True,False,True,False,fn01,fn03
49371020637,45.9803,49438745694,46.0434,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,65536,65536,True,True,True,False,True,False,fn01,fn03
35115117006,32.7035,35182733446,32.7665,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,16384,16384,True,True,True,False,True,False,fn01,fn03
49358254860,45.9685,49443758337,46.0481,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,65536,65536,True,True,True,False,True,False,fn01,fn03
11964920754,11.1432,11959181924,11.1379,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,131072,131072,False,False,False,False,False,False,fn01,fn03
18218963529,16.9677,18217760290,16.9666,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,131072,131072,False,False,False,False,False,False,fn01,fn03
28947924203,26.9599,28949939105,26.9617,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,131072,131072,False,False,False,False,False,False,fn01,fn03
49406396703,46.0133,49447045350,46.0511,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,131072,131072,False,False,False,False,False,False,fn01,fn03
48504128792,45.173,48558849451,45.224,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,131072,131072,False,False,False,False,False,False,fn01,fn03
3507423739,3.26654,3620861492,3.37219,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,1,8,131072,131072,False,False,False,False,False,False,fn01,fn03
6751140904,6.28749,6972382485,6.49354,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,2,8,131072,131072,False,False,False,False,False,False,fn01,fn03
11116615078,10.3532,11484518376,10.6958,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,4,8,131072,131072,False,False,False,False,False,False,fn01,fn03
17260798374,16.0754,17844713748,16.6192,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,8,8,131072,131072,False,False,False,False,False,False,fn01,fn03
