run,cycles,runtime,ops_per_sec,kernel,mitigations,node,ssd,core_id,reg_ring,reg_fds,reg_bufs,iopoll,duration,perfevent,measure_lat,pin_iowq,max_workers,setup_mode,write_size,method,ioworker,lat_avg,lat_min,lat_max,lat_std,lat_samples,ops_avg,ops_min,ops_max,ops_std,ops_samples
1,66008126986,27.5034,628.468,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,nvme_passthru_flush,0,1589015.9834024897,1551567,1616715,18100.000149461684,241,57.74688796680498,57,58,0.4347945858067962,241
1,66007073224,27.5029,100538,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,none,0,9883.556016597511,9695,10219,118.0957747227606,241,9237.215767634854,9192,9272,18.888928466210253,241
1,66007349232,27.5031,254.081,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,open_sync,0,3929072.692946058,3868035,3987875,31037.97128677491,241,23.29875518672199,23,24,0.457712273299176,241
1,66007602312,27.5032,254.08,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,open_dsync,0,3926485.605809129,3867076,3987945,31475.585545659418,241,23.307053941908713,23,24,0.4612719573820133,241
1,66006873612,27.5029,254.119,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,write_sync,0,3934168.2199170124,3887844,3988261,30214.069886412424,241,23.315352697095435,23,24,0.4646561885201467,241
1,66006979764,27.5029,248.01,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,write_dsync,0,3934799.825726141,3881985,3985318,30857.763981744225,241,22.96265560165975,20,24,0.9079270548846107,241
1,66001163282,27.5005,610.026,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,fsync_link2,0,1635946.2157676348,1582729,1681612,28045.005500775118,241,56.058091286307054,55,57,0.6083332851798277,241
1,66008235790,27.5034,101009,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,nvme_passthru,0,9923.543568464731,9689,10211,149.46690598793538,241,9274.174273858922,9242,9370,31.298501316176374,241
1,66006976814,27.5029,628.479,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,nvme_passthru_flush,0,1587099.705394191,1552315,1614766,17289.61042354207,241,57.738589211618255,57,58,0.4394032181258785,241
2,65999958104,27.5,87607.4,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,none,0,11640.842323651452,11378,11955,152.6922434056832,241,8045.03734439834,7957,8151,53.865233088573646,241
2,66003561124,27.5015,594.15,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,fsync_link,1,1675942.5228215768,1618836,1759316,37071.1785165555,241,54.6058091286307,54,55,0.4886761998485406,241
2,66001561992,27.5007,591.695,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,fsync_link2,1,1684368.2282157675,1621321,1765186,42311.2571582187,241,54.43568464730291,54,55,0.49584628203451137,241
2,66004332916,27.5018,248.384,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,open_sync,0,4021243.7012448134,3966080,4074039,30552.656984138277,241,22.887966804979254,22,23,0.31540728944364954,241
2,66005128306,27.5021,248.453,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,open_dsync,0,4019990.589211618,3966326,4069903,30244.272232623574,241,22.896265560165975,22,23,0.30491573561616325,241
2,66006197934,27.5026,248.449,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,write_sync,0,4014590.9834024897,3958080,4067968,32223.55096877234,241,22.896265560165975,22,23,0.30491573561616325,241
2,66001467054,27.5006,248.467,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,write_dsync,0,4017071.593360996,3962696,4072975,31893.744265846643,241,22.900414937759336,22,23,0.2994459510816385,241
2,65999872902,27.4999,90457.8,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,nvme_passthru,0,11104.966804979253,10913,11408,122.11146758739682,241,8294.755186721992,8256,8392,24.35717587624599,241
2,66003346548,27.5014,602.733,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,nvme_passthru_flush,0,1657325.4439834026,1588488,1720219,35034.68978569158,241,55.45228215767635,55,56,0.4977177990829494,241
2,66007710852,27.5032,99403.1,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,none,0,10106.763485477179,9816,10477,168.44506742964728,241,9132.443983402489,9096,9168,19.256458072384454,241
2,66008156312,27.5034,626.468,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,fsync_link,1,1587009.0124481327,1551674,1617571,18101.524398905203,241,57.61825726141079,56,58,0.5346099056732417,241
2,66006291750,27.5026,626.268,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,fsync_link2,1,1584824.3526970954,1550303,1615050,18514.976425964684,241,57.6058091286307,56,58,0.5888023825748302,241
2,66008230418,27.5034,254.15,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,open_sync,0,3931722.8423236515,3882649,3979954,29415.529364197544,241,23.307053941908713,23,24,0.4612719573820133,241
2,66006545564,27.5027,254.048,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,open_dsync,0,3933346.460580913,3868332,3983313,29518.288492078234,241,23.30290456431535,23,24,0.4595142970923528,241
2,66006608732,27.5028,254.047,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,write_sync,0,3927864.124481328,3877981,3979570,29220.734760065745,241,23.29875518672199,23,24,0.457712273299176,241
2,66008383126,27.5035,254.04,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,write_dsync,0,3928999.4149377593,3872710,3982935,29721.28724758658,241,23.307053941908713,23,24,0.4612719573820133,241
2,66008369732,27.5035,101951,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,nvme_passthru,0,9840.834024896265,9692,10053,89.72122248090616,241,9350.771784232365,9335,9375,10.307401387960569,241
2,66007261862,27.503,628.513,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,nvme_passthru_flush,0,1585569.3609958505,1550386,1613790,17611.026973241922,241,57.7551867219917,57,58,0.4299764376324942,241
2,66007929266,27.5033,101004,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,none,0,9873.0,9689,10179,122.63053845863844,241,9272.045643153528,9212,9290,14.914208036293415,241
2,66007648742,27.5032,254.116,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,open_sync,0,3927814.3609958505,3867490,3981261,28949.00398960237,241,23.315352697095435,23,24,0.4646561885201467,241
2,66007293362,27.503,254.081,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,open_dsync,0,3928999.3112033196,3871157,3984804,28644.534747831916,241,23.315352697095435,23,24,0.4646561885201467,241
2,66008152212,27.5034,254.114,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,write_sync,0,3931182.659751037,3873019,3987615,29908.328175016395,241,23.311203319502074,23,24,0.46298575942782977,241
2,66007388670,27.5031,254.117,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,write_dsync,0,3933720.4149377593,3875658,3986510,30019.971242705895,241,23.323651452282157,23,24,0.46786877403584853,241
2,66001898252,27.5008,591.147,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,fsync_link2,0,1683508.4439834026,1603676,1753729,43369.20176077943,241,54.37759336099585,54,55,0.48478512222190545,241
2,66006834246,27.5028,102504,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,nvme_passthru,0,9715.29460580913,9529,9971,116.81840507143481,241,9406.165975103735,9344,9438,17.945903148540825,241
2,66007524556,27.5031,628.51,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,nvme_passthru_flush,0,1586378.4771784232,1550885,1615007,18623.950367162302,241,57.74273858921162,57,59,0.4465162175042191,241
2,66006176102,27.5026,99992,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,none,0,10063.726141078838,9780,10397,180.35209829147476,241,9187.29460580913,9159,9207,9.610696622769028,241
2,66006292222,27.5026,254.085,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,open_sync,0,3932590.203319502,3875010,3984021,31534.012400170344,241,23.315352697095435,23,24,0.4646561885201467,241
