tag,method,iodirect,ms
large_8w_256io_mode0,io_uring,data+wal,3991.594
large_8w_256io_mode0,io_uring,data+wal,3993.818
large_8w_256io_mode1,io_uring,data+wal,3937.998
large_8w_256io_mode1,io_uring,data+wal,3951.820
large_8w_256io_mode1,io_uring,data+wal,3956.229
large_8w_256io_mode1,io_uring,data+wal,3952.604
large_8w_256io_mode1,io_uring,data+wal,3924.194
large_8w_256io_mode1,io_uring,data+wal,3930.397
large_8w_256io_mode1,io_uring,data+wal,4083.458
large_8w_256io_mode1,io_uring,data+wal,3922.355
large_8w_256io_mode1,io_uring,data+wal,4076.949
large_8w_256io_mode1,io_uring,data+wal,3944.164
large_8w_256io_mode2,io_uring,data+wal,3933.719
large_8w_256io_mode2,io_uring,data+wal,3818.192
large_8w_256io_mode2,io_uring,data+wal,3842.023
large_8w_256io_mode2,io_uring,data+wal,3835.429
large_8w_256io_mode2,io_uring,data+wal,3834.611
large_8w_256io_mode2,io_uring,data+wal,3862.456
large_8w_256io_mode2,io_uring,data+wal,3820.243
large_8w_256io_mode2,io_uring,data+wal,3861.824
large_8w_256io_mode2,io_uring,data+wal,3833.589
large_8w_256io_mode2,io_uring,data+wal,3805.489
large_8w_256io_mode3,io_uring,data+wal,3766.166
large_8w_256io_mode3,io_uring,data+wal,3826.663
large_8w_256io_mode3,io_uring,data+wal,3797.426
large_8w_256io_mode3,io_uring,data+wal,3765.745
large_8w_256io_mode3,io_uring,data+wal,3902.513
large_8w_256io_mode3,io_uring,data+wal,3756.738
large_8w_256io_mode3,io_uring,data+wal,3772.190
large_8w_256io_mode3,io_uring,data+wal,3797.219
large_8w_256io_mode3,io_uring,data+wal,3773.074
large_8w_256io_mode3,io_uring,data+wal,3773.152
large_8w_256io_mode4,io_uring,data+wal,3570.262
large_8w_256io_mode4,io_uring,data+wal,3614.777
large_8w_256io_mode4,io_uring,data+wal,3533.397
large_8w_256io_mode4,io_uring,data+wal,3591.380
large_8w_256io_mode4,io_uring,data+wal,3641.702
large_8w_256io_mode4,io_uring,data+wal,3614.251
large_8w_256io_mode4,io_uring,data+wal,3592.551
large_8w_256io_mode4,io_uring,data+wal,3640.993
large_8w_256io_mode4,io_uring,data+wal,3640.223
large_8w_256io_mode4,io_uring,data+wal,3568.878
large_8w_256io_mode5,io_uring,data+wal,3572.218
large_8w_256io_mode5,io_uring,data+wal,3557.910
large_8w_256io_mode5,io_uring,data+wal,3606.322
large_8w_256io_mode5,io_uring,data+wal,3564.939
large_8w_256io_mode5,io_uring,data+wal,3584.906
large_8w_256io_mode5,io_uring,data+wal,3601.014
large_8w_256io_mode5,io_uring,data+wal,3594.806
large_8w_256io_mode5,io_uring,data+wal,3594.477
large_8w_256io_mode5,io_uring,data+wal,3626.203
large_8w_256io_mode5,io_uring,data+wal,3543.709
large_8w_256io_mode6,io_uring,data+wal,3601.746
large_8w_256io_mode6,io_uring,data+wal,3580.608
large_8w_256io_mode6,io_uring,data+wal,3553.064
large_8w_256io_mode6,io_uring,data+wal,3543.054
large_8w_256io_mode6,io_uring,data+wal,3572.936
large_8w_256io_mode6,io_uring,data+wal,3567.539
large_8w_256io_mode6,io_uring,data+wal,3553.349
large_8w_256io_mode6,io_uring,data+wal,3582.953
large_8w_256io_mode6,io_uring,data+wal,3576.683
large_8w_256io_mode6,io_uring,data+wal,3601.877
large_8w_256io_mode7,io_uring,data+wal,3791.482
large_8w_256io_mode7,io_uring,data+wal,3799.405
large_8w_256io_mode7,io_uring,data+wal,3884.887
large_8w_256io_mode7,io_uring,data+wal,3832.585
large_8w_256io_mode7,io_uring,data+wal,4031.026
large_8w_256io_mode7,io_uring,data+wal,3832.597
large_8w_256io_mode7,io_uring,data+wal,3832.470
large_8w_256io_mode7,io_uring,data+wal,3866.503
large_8w_256io_mode7,io_uring,data+wal,3811.136
large_8w_256io_mode7,io_uring,data+wal,3827.377
large_1w_16io_mode0,io_uring,data+wal,28295.667
large_1w_16io_mode0,io_uring,data+wal,28295.075
large_1w_16io_mode0,io_uring,data+wal,28289.734
large_1w_16io_mode0,io_uring,data+wal,28293.419
large_1w_16io_mode0,io_uring,data+wal,28330.541
large_1w_16io_mode0,io_uring,data+wal,28536.994
large_1w_16io_mode0,io_uring,data+wal,28366.176
large_1w_16io_mode0,io_uring,data+wal,28458.426
large_1w_16io_mode0,io_uring,data+wal,28346.419
large_1w_16io_mode0,io_uring,data+wal,28313.419
large_1w_16io_mode1,io_uring,data+wal,28509.770
large_1w_16io_mode1,io_uring,data+wal,30309.628
large_1w_16io_mode1,io_uring,data+wal,28767.034
large_1w_16io_mode1,io_uring,data+wal,28265.365
large_1w_16io_mode1,io_uring,data+wal,27532.576
large_1w_16io_mode1,io_uring,data+wal,30669.560
large_1w_16io_mode1,io_uring,data+wal,28222.436
large_1w_16io_mode1,io_uring,data+wal,29156.213
large_1w_16io_mode1,io_uring,data+wal,28670.714
large_1w_16io_mode1,io_uring,data+wal,28359.912
large_1w_16io_mode2,io_uring,data+wal,26337.136
large_1w_16io_mode2,io_uring,data+wal,26435.215
large_1w_16io_mode2,io_uring,data+wal,26704.933
large_1w_16io_mode2,io_uring,data+wal,26798.878
large_1w_16io_mode2,io_uring,data+wal,26832.580
large_1w_16io_mode2,io_uring,data+wal,26776.801
large_1w_16io_mode2,io_uring,data+wal,26989.538
large_1w_16io_mode2,io_uring,data+wal,26824.378
large_1w_16io_mode2,io_uring,data+wal,26737.892
large_1w_16io_mode2,io_uring,data+wal,26745.781
large_1w_16io_mode3,io_uring,data+wal,26341.565
large_1w_16io_mode3,io_uring,data+wal,26310.079
large_1w_16io_mode3,io_uring,data+wal,26342.272
large_1w_16io_mode3,io_uring,data+wal,26360.345
large_1w_16io_mode3,io_uring,data+wal,27018.004
large_1w_16io_mode3,io_uring,data+wal,26321.878
large_1w_16io_mode3,io_uring,data+wal,26479.346
large_1w_16io_mode3,io_uring,data+wal,26300.877
large_1w_16io_mode3,io_uring,data+wal,26322.270
large_1w_16io_mode3,io_uring,data+wal,26471.977
large_1w_16io_mode4,io_uring,data+wal,24830.055
large_1w_16io_mode4,io_uring,data+wal,24967.735
large_1w_16io_mode4,io_uring,data+wal,25282.654
large_1w_16io_mode4,io_uring,data+wal,24783.357
large_1w_16io_mode4,io_uring,data+wal,24929.431
large_1w_16io_mode4,io_uring,data+wal,25034.159
large_1w_16io_mode4,io_uring,data+wal,24779.671
large_1w_16io_mode4,io_uring,data+wal,24926.673
large_1w_16io_mode4,io_uring,data+wal,27345.029
large_1w_16io_mode4,io_uring,data+wal,29702.544
large_1w_16io_mode5,io_uring,data+wal,24690.603
large_1w_16io_mode5,io_uring,data+wal,24841.059
large_1w_16io_mode5,io_uring,data+wal,24798.634
large_1w_16io_mode5,io_uring,data+wal,24729.356
large_1w_16io_mode5,io_uring,data+wal,24757.461
large_1w_16io_mode5,io_uring,data+wal,24748.143
large_1w_16io_mode5,io_uring,data+wal,24807.341
large_1w_16io_mode5,io_uring,data+wal,24891.668
large_1w_16io_mode5,io_uring,data+wal,24752.257
large_1w_16io_mode5,io_uring,data+wal,25060.887
large_1w_16io_mode6,io_uring,data+wal,25385.695
large_1w_16io_mode6,io_uring,data+wal,24751.789
large_1w_16io_mode6,io_uring,data+wal,24738.418
large_1w_16io_mode6,io_uring,data+wal,24707.355
large_1w_16io_mode6,io_uring,data+wal,24935.129
large_1w_16io_mode6,io_uring,data+wal,24838.855
large_1w_16io_mode6,io_uring,data+wal,25022.693
large_1w_16io_mode6,io_uring,data+wal,24786.685
large_1w_16io_mode6,io_uring,data+wal,24803.325
large_1w_16io_mode6,io_uring,data+wal,25006.247
large_1w_16io_mode7,io_uring,data+wal,27017.699
large_1w_16io_mode7,io_uring,data+wal,29326.515
large_1w_16io_mode7,io_uring,data+wal,26964.605
large_1w_16io_mode7,io_uring,data+wal,26873.561
large_1w_16io_mode7,io_uring,data+wal,26356.122
large_1w_16io_mode7,io_uring,data+wal,26632.451
large_1w_16io_mode7,io_uring,data+wal,26797.871
large_1w_16io_mode7,io_uring,data+wal,26714.922
large_1w_16io_mode7,io_uring,data+wal,26786.930
large_1w_16io_mode7,io_uring,data+wal,26487.734
large_2w_16io_mode0,io_uring,data+wal,14727.170
large_2w_16io_mode0,io_uring,data+wal,14869.807
large_2w_16io_mode0,io_uring,data+wal,14672.290
large_2w_16io_mode0,io_uring,data+wal,15047.629
large_2w_16io_mode0,io_uring,data+wal,14756.192
large_2w_16io_mode0,io_uring,data+wal,14764.977
large_2w_16io_mode0,io_uring,data+wal,14770.935
large_2w_16io_mode0,io_uring,data+wal,15167.605
large_2w_16io_mode0,io_uring,data+wal,14758.232
large_2w_16io_mode0,io_uring,data+wal,15117.494
large_2w_16io_mode1,io_uring,data+wal,14787.876
large_2w_16io_mode1,io_uring,data+wal,14678.330
large_2w_16io_mode1,io_uring,data+wal,14934.473
large_2w_16io_mode1,io_uring,data+wal,14788.819
large_2w_16io_mode1,io_uring,data+wal,14724.710
large_2w_16io_mode1,io_uring,data+wal,14777.847
large_2w_16io_mode1,io_uring,data+wal,15287.531
large_2w_16io_mode1,io_uring,data+wal,14661.782
large_2w_16io_mode1,io_uring,data+wal,15124.375
large_2w_16io_mode1,io_uring,data+wal,14601.669
large_2w_16io_mode2,io_uring,data+wal,14019.524
large_2w_16io_mode2,io_uring,data+wal,16040.875
large_2w_16io_mode2,io_uring,data+wal,14120.894
large_2w_16io_mode2,io_uring,data+wal,13885.988
large_2w_16io_mode2,io_uring,data+wal,14067.653
large_2w_16io_mode2,io_uring,data+wal,14024.986
large_2w_16io_mode2,io_uring,data+wal,13937.387
large_2w_16io_mode2,io_uring,data+wal,14189.300
large_2w_16io_mode2,io_uring,data+wal,14421.087
large_2w_16io_mode2,io_uring,data+wal,14025.266
large_2w_16io_mode3,io_uring,data+wal,13794.924
large_2w_16io_mode3,io_uring,data+wal,13730.892
large_2w_16io_mode3,io_uring,data+wal,13952.161
large_2w_16io_mode3,io_uring,data+wal,13806.523
large_2w_16io_mode3,io_uring,data+wal,13794.930
large_2w_16io_mode3,io_uring,data+wal,13765.633
large_2w_16io_mode3,io_uring,data+wal,13811.946
large_2w_16io_mode3,io_uring,data+wal,13762.576
large_2w_16io_mode3,io_uring,data+wal,14071.567
large_2w_16io_mode3,io_uring,data+wal,13769.411
large_2w_16io_mode4,io_uring,data+wal,13312.114
large_2w_16io_mode4,io_uring,data+wal,12960.490
large_2w_16io_mode4,io_uring,data+wal,13029.412
large_2w_16io_mode4,io_uring,data+wal,13033.685
large_2w_16io_mode4,io_uring,data+wal,13064.439
large_2w_16io_mode4,io_uring,data+wal,13068.863
large_2w_16io_mode4,io_uring,data+wal,12986.120
large_2w_16io_mode4,io_uring,data+wal,13022.765
large_2w_16io_mode4,io_uring,data+wal,13071.865
large_2w_16io_mode4,io_uring,data+wal,13035.333
large_2w_16io_mode5,io_uring,data+wal,12991.926
large_2w_16io_mode5,io_uring,data+wal,12994.046
large_2w_16io_mode5,io_uring,data+wal,13072.312
large_2w_16io_mode5,io_uring,data+wal,12994.124
large_2w_16io_mode5,io_uring,data+wal,13003.380
large_2w_16io_mode5,io_uring,data+wal,12958.316
large_2w_16io_mode5,io_uring,data+wal,12978.920
large_2w_16io_mode5,io_uring,data+wal,12988.812
