iops,cycles,instructions,taskclk,l1_misses,llc_misses,branch_misses,scale,ipc,cpus,ghz,run,mode,posix,libaio,reg_ring,reg_fds,reg_bufs,nvme_cmds,iopoll,num_threads,core_id,num_ssds,perfevent,write,duration,ssd_size,iodepth,bs,batch_submit,batch_complete,kernel,mitigations,node,tid,ioworker
355328,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,10,0
355264,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,11,0
354336,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,12,0
353984,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,13,0
354080,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,14,0
353056,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,16,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,15,0
336480,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,0,0
336160,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,1,0
336096,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,2,0
335808,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,3,0
334752,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,4,0
335680,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,5,0
334848,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,6,0
334208,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,7,0
328960,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,8,0
335680,,,,,,,,,,,0,defer,False,True,False,False,False,False,False,32,64,8,False,False,10,1099511627776,512,4096,32,32,6.15.0-rc7,True,fn01,9,0
