run,duration,connections,workload,flags,kernel,mitigations,mtu,node,core_id,num_threads,size,pin_queues,bw_avg,bw_min,bw_max,bw_std,bw_samples,perf_cycles,perf_kcycles,perf_instructions,perf_L1-misses,perf_LLC-misses,perf_branch-misses,perf_task-clock,perf_scale,perf_IPC,perf_CPUs,perf_GHz
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,32768,True,5766366354.285714,2719744,6023020544,1112564109.678963,28,0.6120,0.5999,0.4246,0.0617,0.0016,0.0086,0.1666,179527319552,0.6938,0.9994,3.6735
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,32768,True,7212960123.259259,5796528128,7885291520,518169393.9628291,27,0.3993,0.3936,0.4223,0.0042,0.0009,0.0077,0.1097,218612203520,1.0576,0.7985,3.6397
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,32768,True,7677512152.615385,7600078848,7717519360,27460331.33586412,26,0.2815,0.2761,0.2973,0.0035,0.0008,0.0051,0.0778,229980209152,1.0561,0.5977,3.6170
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,65536,True,7184842752.0,6887047168,7214202880,61698285.31649445,26,0.5105,0.5016,0.3470,0.0592,0.0024,0.0069,0.1390,215244210176,0.6797,0.9994,3.6732
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,65536,True,7277440078.769231,7121928192,7356809216,70692503.03900035,26,0.5037,0.4948,0.3459,0.0590,0.0024,0.0068,0.1371,218131136512,0.6866,0.9993,3.6733
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,65536,True,7694934646.153846,7667187712,7709130752,11342943.9920896,26,0.3203,0.3150,0.3618,0.0035,0.0005,0.0065,0.0882,230482771968,1.1296,0.6789,3.6314
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,65536,True,7668478267.076923,7650410496,7683964928,10836052.540631251,26,0.2072,0.2041,0.2353,0.0028,0.0005,0.0039,0.0577,229646794752,1.1358,0.4423,3.5922
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,131072,True,7339709361.230769,7256145920,7516192768,59383942.135815024,26,0.4966,0.4919,0.3284,0.0583,0.0031,0.0064,0.1352,220702703616,0.6613,0.9968,3.6728
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,131072,True,7204201078.153846,7121928192,7247757312,33956868.29236213,26,0.5083,0.5035,0.3269,0.0585,0.0028,0.0064,0.1384,216147820544,0.6430,0.9992,3.6731
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,131072,True,7784305585.230769,7759462400,7801405440,14243688.647100618,26,0.2653,0.2619,0.3165,0.0031,0.0005,0.0057,0.0733,233133703168,1.1929,0.5712,3.6172
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,131072,True,7784628224.0,7767851008,7801405440,8705269.926832985,26,0.1791,0.1770,0.2096,0.0025,0.0004,0.0034,0.0500,233060171776,1.1702,0.3896,3.5797
1,30000,1,send,------,6.15.0,True,9000,fn05,3,1,262144,True,6466965636.129032,0,7801405440,2609921262.3953543,31,0.4813,0.4786,0.2994,0.0576,0.0054,0.0058,0.1311,223947259904,0.6221,0.9810,3.6699
1,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,262144,True,6427026729.290322,0,7801405440,2676552553.114619,31,0.4839,0.4811,0.2982,0.0575,0.0053,0.0057,0.1319,222717542400,0.6163,0.9811,3.6696
1,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,262144,True,7832056123.076923,7801405440,7851737088,12730951.35151065,26,0.2413,0.2390,0.2951,0.0028,0.0005,0.0052,0.0669,234469720064,1.2231,0.5244,3.6044
1,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,262144,True,7790113083.076923,7767851008,7801405440,9576449.140305964,26,0.1551,0.1537,0.1885,0.0022,0.0004,0.0030,0.0436,233183641600,1.2150,0.3396,3.5585
